pairName,currentValues,currentTime,localTime,secondaryData,hr1MainSumm,hr1FullSumm,hr1PivotPoints,hr1TechIndicators
eur_usd,1.2120 -0.0004    -0.04%,08:08:28,2021-06-16 12:08:53.274537,"Prev. Close: 1.2124
Bid/Ask: 1.2119 / 1.2120
Day's Range: 1.2114 - 1.2136",Strong Sell,"Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (1)Sell (8)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1.2108
1.2111
1.2115
1.2118
1.2122
1.2125
1.2129
Fibonacci
1.2111
1.2114
1.2115
1.2118
1.2121
1.2122
1.2125
Camarilla
1.2116
1.2117
1.2117
1.2118
1.2119
1.2119
1.2120
Woodie's
1.2108
1.2111
1.2115
1.2118
1.2122
1.2125
1.2129
DeMark's
-
-
1.2116
1.2119
1.2123
-
-","Technical IndicatorsJun 16, 2021 12:07PM GMT
Name
Value
Action
RSI(14)
43.931
Sell
STOCH(9,6)
43.798
Sell
STOCHRSI(14)
13.926
Oversold
MACD(12,26)
0.000
Neutral
ADX(14)
33.120
Sell
Williams %R
-76.745
Sell
CCI(14)
-121.4158
Sell
ATR(14)
0.0008
High Volatility
Highs/Lows(14)
-0.0001
Sell
Ultimate Oscillator
53.917
Buy
ROC
-0.066
Sell
Bull/Bear Power(13)
-0.0003
Sell
Buy: 1
Sell: 8
Neutral: 1


Summary:Strong Sell"
gbp_usd,1.4119 +0.0039    +0.27%,08:08:26,2021-06-16 12:08:53.279148,"Prev. Close: 1.4080
Bid/Ask: 1.4116 / 1.4121
Day's Range: 1.4077 - 1.4123",Strong Buy,"Summary:Strong Buy
Moving Averages:BuyBuy (10)Sell (2)
Technical Indicators:Strong BuyBuy (8)Sell (0)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1.4102
1.4106
1.4111
1.4115
1.4120
1.4124
1.4129
Fibonacci
1.4106
1.4109
1.4112
1.4115
1.4118
1.4121
1.4124
Camarilla
1.4114
1.4115
1.4116
1.4115
1.4117
1.4118
1.4119
Woodie's
1.4102
1.4106
1.4111
1.4115
1.4120
1.4124
1.4129
DeMark's
-
-
1.4109
1.4114
1.4118
-
-","Technical IndicatorsJun 16, 2021 12:07PM GMT
Name
Value
Action
RSI(14)
62.369
Buy
STOCH(9,6)
81.656
Overbought
STOCHRSI(14)
83.506
Overbought
MACD(12,26)
0.001
Buy
ADX(14)
38.376
Buy
Williams %R
-9.678
Overbought
CCI(14)
102.2531
Buy
ATR(14)
0.0011
High Volatility
Highs/Lows(14)
0.0016
Buy
Ultimate Oscillator
65.409
Buy
ROC
0.266
Buy
Bull/Bear Power(13)
0.0037
Buy
Buy: 8
Sell: 0
Neutral: 0


Summary:Strong Buy"
usd_jpy,109.91 -0.17    -0.15%,08:08:24,2021-06-16 12:08:53.282473,"Prev. Close: 110.07
Bid/Ask: 109.89 / 109.92
Day's Range: 109.90 - 110.15",Strong Sell,"Summary:Strong Sell
Moving Averages:SellBuy (4)Sell (8)
Technical Indicators:Strong SellBuy (0)Sell (8)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
109.90
109.92
109.94
109.96
109.98
110.00
110.02
Fibonacci
109.92
109.94
109.94
109.96
109.98
109.98
110.00
Camarilla
109.93
109.94
109.94
109.96
109.95
109.95
109.96
Woodie's
109.88
109.91
109.92
109.95
109.96
109.99
110.00
DeMark's
-
-
109.92
109.95
109.96
-
-","Technical IndicatorsJun 16, 2021 12:07PM GMT
Name
Value
Action
RSI(14)
33.720
Sell
STOCH(9,6)
18.533
Oversold
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
-0.030
Sell
ADX(14)
20.218
Sell
Williams %R
-97.960
Oversold
CCI(14)
-117.9051
Sell
ATR(14)
0.0582
Less Volatility
Highs/Lows(14)
-0.0964
Sell
Ultimate Oscillator
37.798
Sell
ROC
-0.136
Sell
Bull/Bear Power(13)
-0.1370
Sell
Buy: 0
Sell: 8
Neutral: 0


Summary:Strong Sell"
aud_usd,0.7711 +0.0026    +0.34%,08:08:25,2021-06-16 12:08:53.285637,"Prev. Close: 0.7685
Bid/Ask: 0.7710 / 0.7712
Day's Range: 0.7684 - 0.7711",Strong Buy,"Summary:Strong Buy
Moving Averages:BuyBuy (8)Sell (4)
Technical Indicators:Strong BuyBuy (8)Sell (0)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
0.7699
0.7701
0.7703
0.7705
0.7707
0.7709
0.7712
Fibonacci
0.7701
0.7702
0.7703
0.7705
0.7707
0.7708
0.7709
Camarilla
0.7705
0.7705
0.7706
0.7705
0.7706
0.7707
0.7707
Woodie's
0.7699
0.7701
0.7703
0.7705
0.7707
0.7709
0.7712
DeMark's
-
-
0.7704
0.7705
0.7708
-
-","Technical IndicatorsJun 16, 2021 12:07PM GMT
Name
Value
Action
RSI(14)
63.957
Buy
STOCH(9,6)
80.982
Overbought
STOCHRSI(14)
100.000
Overbought
MACD(12,26)
0.000
Buy
ADX(14)
29.282
Buy
Williams %R
-1.887
Overbought
CCI(14)
135.4468
Buy
ATR(14)
0.0007
Less Volatility
Highs/Lows(14)
0.0009
Buy
Ultimate Oscillator
67.479
Buy
ROC
0.299
Buy
Bull/Bear Power(13)
0.0015
Buy
Buy: 8
Sell: 0
Neutral: 0


Summary:Strong Buy"
eur_gbp,0.8584 -0.0024    -0.27%,08:08:29,2021-06-16 12:08:53.288749,"Prev. Close: 0.8607
Bid/Ask: 0.8582 / 0.8585
Day's Range: 0.8581 - 0.8614",Strong Sell,"Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (0)Sell (9)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
0.8574
0.8577
0.8581
0.8584
0.8588
0.8591
0.8595
Fibonacci
0.8577
0.8580
0.8581
0.8584
0.8587
0.8588
0.8591
Camarilla
0.8582
0.8583
0.8583
0.8584
0.8585
0.8585
0.8586
Woodie's
0.8574
0.8577
0.8581
0.8584
0.8588
0.8591
0.8595
DeMark's
-
-
0.8582
0.8585
0.8589
-
-","Technical IndicatorsJun 16, 2021 12:07PM GMT
Name
Value
Action
RSI(14)
33.730
Sell
STOCH(9,6)
27.226
Sell
STOCHRSI(14)
1.178
Oversold
MACD(12,26)
-0.000
Sell
ADX(14)
62.827
Sell
Williams %R
-90.770
Oversold
CCI(14)
-129.0878
Sell
ATR(14)
0.0007
Less Volatility
Highs/Lows(14)
-0.0013
Sell
Ultimate Oscillator
39.466
Sell
ROC
-0.337
Sell
Bull/Bear Power(13)
-0.0032
Sell
Buy: 0
Sell: 9
Neutral: 0


Summary:Strong Sell"
usd_cad,1.2175 -0.0005    -0.04%,08:08:36,2021-06-16 12:08:53.291892,"Prev. Close: 1.2180
Bid/Ask: 1.2173 / 1.2177
Day's Range: 1.2168 - 1.2190",Sell,"Summary:Sell
Moving Averages:NeutralBuy (6)Sell (6)
Technical Indicators:Strong SellBuy (1)Sell (6)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1.2168
1.2173
1.2176
1.2180
1.2183
1.2187
1.2190
Fibonacci
1.2173
1.2175
1.2177
1.2180
1.2183
1.2185
1.2187
Camarilla
1.2177
1.2178
1.2178
1.2180
1.2180
1.2180
1.2181
Woodie's
1.2168
1.2173
1.2176
1.2180
1.2183
1.2187
1.2190
DeMark's
-
-
1.2174
1.2179
1.2181
-
-","Technical IndicatorsJun 16, 2021 12:07PM GMT
Name
Value
Action
RSI(14)
48.401
Neutral
STOCH(9,6)
53.100
Neutral
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
0.000
Buy
ADX(14)
28.522
Sell
Williams %R
-67.443
Sell
CCI(14)
-99.8516
Sell
ATR(14)
0.0010
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
47.280
Sell
ROC
-0.090
Sell
Bull/Bear Power(13)
-0.0006
Sell
Buy: 1
Sell: 6
Neutral: 3


Summary:Strong Sell"
usd_chf,0.8993 +0.0014    +0.15%,08:08:15,2021-06-16 12:08:53.295026,"Prev. Close: 0.8979
Bid/Ask: 0.8992 / 0.8993
Day's Range: 0.8977 - 0.8999",Strong Buy,"Summary:Strong Buy
Moving Averages:BuyBuy (12)Sell (0)
Technical Indicators:Strong BuyBuy (7)Sell (1)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
0.8980
0.8984
0.8989
0.8994
0.8999
0.9004
0.9009
Fibonacci
0.8984
0.8988
0.8990
0.8994
0.8998
0.9000
0.9004
Camarilla
0.8993
0.8994
0.8995
0.8994
0.8996
0.8997
0.8998
Woodie's
0.8982
0.8985
0.8991
0.8995
0.9001
0.9005
0.9011
DeMark's
-
-
0.8992
0.8995
0.9002
-
-","Technical IndicatorsJun 16, 2021 12:07PM GMT
Name
Value
Action
RSI(14)
56.228
Buy
STOCH(9,6)
53.100
Neutral
STOCHRSI(14)
83.254
Overbought
MACD(12,26)
0.000
Neutral
ADX(14)
23.906
Buy
Williams %R
-25.583
Buy
CCI(14)
130.0656
Buy
ATR(14)
0.0007
Less Volatility
Highs/Lows(14)
0.0002
Buy
Ultimate Oscillator
48.163
Sell
ROC
0.095
Buy
Bull/Bear Power(13)
0.0006
Buy
Buy: 7
Sell: 1
Neutral: 2


Summary:Strong Buy"
nzd_chf,0.6428 +0.0036    +0.56%,08:08:36,2021-06-16 12:08:53.298163,"Prev. Close: 0.6392
Bid/Ask: 0.6425 / 0.6431
Day's Range: 0.6392 - 0.6429",Strong Buy,"Summary:Strong Buy
Moving Averages:BuyBuy (10)Sell (2)
Technical Indicators:Strong BuyBuy (9)Sell (0)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
0.6414
0.6417
0.6422
0.6425
0.6429
0.6433
0.6437
Fibonacci
0.6417
0.6420
0.6422
0.6425
0.6428
0.6430
0.6433
Camarilla
0.6425
0.6426
0.6426
0.6425
0.6428
0.6428
0.6429
Woodie's
0.6416
0.6418
0.6424
0.6426
0.6431
0.6434
0.6439
DeMark's
-
-
0.6424
0.6426
0.6432
-
-","Technical IndicatorsJun 16, 2021 12:07PM GMT
Name
Value
Action
RSI(14)
62.609
Buy
STOCH(9,6)
74.715
Buy
STOCHRSI(14)
100.000
Overbought
MACD(12,26)
0.000
Buy
ADX(14)
47.268
Buy
Williams %R
-1.493
Overbought
CCI(14)
144.1937
Buy
ATR(14)
0.0008
Less Volatility
Highs/Lows(14)
0.0009
Buy
Ultimate Oscillator
62.728
Buy
ROC
0.469
Buy
Bull/Bear Power(13)
0.0014
Buy
Buy: 9
Sell: 0
Neutral: 0


Summary:Strong Buy"
usd_cny,6.3991 -0.0061    -0.10%,08:04:20,2021-06-16 12:08:53.301280,"Prev. Close: 6.4052
Bid/Ask: 6.3986 / 6.3996
Day's Range: 6.3963 - 6.4061",Neutral,"Summary:Neutral
Moving Averages:BuyBuy (8)Sell (4)
Technical Indicators:Strong SellBuy (2)Sell (7)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
6.3953
6.3962
6.3968
6.3977
6.3982
6.3992
6.3997
Fibonacci
6.3962
6.3968
6.3971
6.3977
6.3983
6.3986
6.3992
Camarilla
6.3969
6.3970
6.3971
6.3977
6.3974
6.3975
6.3976
Woodie's
6.3951
6.3961
6.3966
6.3976
6.3980
6.3991
6.3995
DeMark's
-
-
6.3965
6.3975
6.3979
-
-","Technical IndicatorsJun 16, 2021 12:00PM GMT
Name
Value
Action
RSI(14)
49.341
Neutral
STOCH(9,6)
19.494
Oversold
STOCHRSI(14)
26.435
Sell
MACD(12,26)
0.000
Buy
ADX(14)
30.402
Buy
Williams %R
-71.783
Sell
CCI(14)
-65.9086
Sell
ATR(14)
0.0024
High Volatility
Highs/Lows(14)
-0.0011
Sell
Ultimate Oscillator
36.023
Sell
ROC
-0.044
Sell
Bull/Bear Power(13)
-0.0031
Sell
Buy: 2
Sell: 7
Neutral: 1


Summary:Strong Sell"
usd_hkd,7.7621 -0.0001    -0.00%,08:08:38,2021-06-16 12:08:53.304433,"Prev. Close: 7.7622
Bid/Ask: 7.7620 / 7.7621
Day's Range: 7.7609 - 7.7633",Neutral,"Summary:Neutral
Moving Averages:NeutralBuy (6)Sell (6)
Technical Indicators:SellBuy (1)Sell (3)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
7.7617
7.7619
7.7620
7.7622
7.7623
7.7625
7.7626
Fibonacci
7.7619
7.7620
7.7621
7.7622
7.7623
7.7624
7.7625
Camarilla
7.7621
7.7621
7.7622
7.7622
7.7622
7.7623
7.7623
Woodie's
7.7617
7.7619
7.7620
7.7622
7.7623
7.7625
7.7626
DeMark's
-
-
7.7620
7.7622
7.7623
-
-","Technical IndicatorsJun 16, 2021 12:07PM GMT
Name
Value
Action
RSI(14)
48.902
Neutral
STOCH(9,6)
52.022
Neutral
STOCHRSI(14)
51.326
Neutral
MACD(12,26)
-0.000
Sell
ADX(14)
15.177
Neutral
Williams %R
-52.076
Neutral
CCI(14)
-0.6041
Neutral
ATR(14)
0.0006
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
48.319
Sell
ROC
-0.015
Sell
Bull/Bear Power(13)
0.0004
Buy
Buy: 1
Sell: 3
Neutral: 7


Summary:Sell"
